,page_id,page_title
124,1c8fee61-94ad-80c2-b272-fd3bb4efa05f,#1226 - Time_creation do pedido adiantado causando erro nas metas/relatórios
125,1c7fee61-94ad-80af-b3ac-c2b405a7783d,#1225 - Erro visual no campo customizado do tipo “MOEDA”
126,1c7fee61-94ad-8036-9573-f57731995f3d,#1224 - Problemas na importação de produtos com grade na Tiny
127,1c4fee61-94ad-8009-8676-c519018f92c3,#1223 - [APP] Erro ao sincronizar pedido - UnitPercentageDiscount / Addition estão null
128,1c4fee61-94ad-8008-8b53-ddb586d8d6b9,#
129,1c4fee61-94ad-8061-b03d-f59d5af1ffbe,#1221 - Limite de crédito sendo utilizado em pedidos de natureza “remessa”
130,1c3fee61-94ad-8057-81c5-c51157736852,#1220 - Levantar  Regra de Negócio de Importação de Clientes B2B na Bling.
131,1c3fee61-94ad-8078-b0a4-f12d792c5e80,PRD-1766 - Meta de um período futuro não aparece como opção para visualização
132,1c3fee61-94ad-8053-aa44-d5d67769b411,#1219 - Cliente inativo no Portal de Compras consegue realizar pedido
133,1c2fee61-94ad-8092-937c-ca5d3c83ea17,#1217 - Acompanhamento - Pedido enviado via API com o manualvalue errado (Encerrar ao fim do SLA)
134,1c1fee61-94ad-803a-a4d5-cb30b6142e04,#1216 - Categorias não estão sendo trazidas via importação de produtos [Sankhya]
135,1c1fee61-94ad-8056-b46c-e0f54c330cb0,#1215 - Desconto aplicado em categoria que não está listada no critério da politica comercia
136,1c1fee61-94ad-8097-8602-f81b03947897,# 1214 -[Tiny] Não aparece o número do pedido na tag de integrado
137,1c1fee61-94ad-80b5-be7e-c1d063dffb94,#1213 - Erro na integração automática do pedido após confirmação via Portal de compras
138,1c1fee61-94ad-802d-a3b6-cc8b74bf21da,PRD-1757 - [Débito Téc.] Config de ambiente de produção BIM Distribuidora
139,1c0fee61-94ad-800e-81bc-c2248d9e19fd,#PRD-1211 - Campo de código do produto está trazendo o código de barras ao invés de código configurável [importação Sankhya]
140,1c0fee61-94ad-801b-9de2-c775f67cb04c,#1210 - Tabelas de preço não estão sendo importadas [Sankhya]
141,1bcfee61-94ad-80fb-a455-ef91826c613e,#1209 - Pedido com o status sugestão não pode ser editado antes da aprovação e apresenta erro de integração automática.
142,1bbfee61-94ad-8067-9661-e2639bcb2fbe,#1207 - Endpoint Save Client V2 retorna Erro 500 quando é enviado payload sem os campos contacs ou addresses
143,1bbfee61-94ad-8096-857c-ee5e48a4febc,PRD-1748 - Habilitar campo Transportadora no Portal de Compras
144,1b9fee61-94ad-8050-9ab7-e11bed3e6fbf,PRD-1747 - Criar configuração de ambiente para categoria de pedido de venda personalizada na integração de pedidos OMIE.
145,1b9fee61-94ad-8009-9821-c6d8daa715d8,#1207 - Divergência no Cálculo de Desconto e IPI no Pedido
146,1b9fee61-94ad-80a9-9de4-df9c1a230096,#1206 - Calculo do pedido demonstrando o valor total errado
147,1b5fee61-94ad-8009-a1a4-caf6bbaf7c81,#1205 - Portal não demonstra toast de erro quando acontece uma falha de integração
148,1b5fee61-94ad-8044-8141-f69df75fe845,#
149,1b4fee61-94ad-8023-93d7-cb65d44cc36e,INO-1742 Criar filtro Produtos para recompra
150,1b4fee61-94ad-80c6-a504-d3d94cb87c0c,#1202 - Erro na importação de 
151,1b3fee61-94ad-80f1-b9a0-ee0ddf3b75c3,#1201 - Relatórios de rotas sem flags de formatação impossibilitando a geração de documentos
152,1b3fee61-94ad-8099-a29b-c9242683a8e7,#
153,1b3fee61-94ad-8064-a02c-d1a49cb034a6,#1199 - Estoque disponível da listagem de produtos diferente do estoque disponível no cadastro do item 
154,1b2fee61-94ad-80ad-8b55-fd54445e2ec3,#1198 - Possível fazer pedidos pelo app quando a base está bloqueada no CS
155,1b2fee61-94ad-809b-96b9-db3d20887a2a,PRD-1729 - Desabilitar envio de desconto na integração de pedido da Tiny
156,1b2fee61-94ad-80be-82c4-d7845f9d0745,#1197 - Desconto de política não sendo demonstrado na impressão do pedido para uma categoria específica.
157,1aefee61-94ad-80b7-bbe3-c875e4a13723,#
158,1aefee61-94ad-8031-bb98-dc50736ebfc3,#1196: Corrigir Flood de Conexões ao Banco em Importações Omie e EP /ApplyPrice
159,1adfee61-94ad-806e-ad25-da94fd88574c,"#1194 - Ao editar um cliente no APP , adicionar um novo endereço e sincronizar, os dados são duplicados na WEB"
160,1adfee61-94ad-80ec-b27b-d2ddcacb1e0d,#1195 - Corrigir Chamada ao Fastgrid de usuários do cockpit da plataforma de CS 
161,1adfee61-94ad-803d-adc3-c9b7013a8634,#1193 - Subtotal do fechamento do pedido no Portal está igual o valor total
162,1abfee61-94ad-80d7-b104-cfe287eee38a,#1212 - Desconto de primeira compra aplicou duas vezes
163,1a8fee61-94ad-804f-8700-fabf1ad5d48c,#1191 - Atualizar preço de exibição dos itens no portal quando a política comercial estiver vencida
164,1a7fee61-94ad-8057-825b-fe2f801e3ecb,#1190 - Não existe Toast de alerta sobre o mau uso da flag de restrição de clientes obrigatória.
165,1a7fee61-94ad-80c3-8853-dd6480f8aa25,PRD-1713 - Implementar vínculo entre unidade de negócios e depósitos para a integração multiestoque Sankhya
